Compound,CAS,inchikey,CID,Pretty Name,LaTeX,Notes,Aroma,Chemical Family,Health,Group,RI Lab,RI Lit,Source
"Pentane, 1-nitro-",628-05-7,BVALZCVRLDMXOQ-UHFFFAOYSA-N,220639,1-Nitropentane,NA,NA,NA,Nitrogen containing,NA,DCSE,NA,NA,NA
Pentanoic acid,109-52-4,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,7991,n-Pentanoic acid,NA,Valeric acid,"rancid, sweaty, animal",Acid,NA,22-23min,NA,893,NIST
Pentyl furan<2->,3777-69-3,YVBAUDVGOFCUSG-UHFFFAOYSA-N,19602,2-Pentyl furan,NA,7.34,"beany, earthy, vegetal, buttery",Oxygenated heterocycle,NA,10-11min,NA,984,Adams
Phenol,108-95-2,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,20488062,Phenol,NA,NA,"phenolic, plastic",Cyclic Alcohol,antibacterial etc,28-29min,981,NA,NA
"Phenol, 2,4-bis(1,1-dimethylethyl)-",96-76-4,ICKWICRCANNIBI-UHFFFAOYSA-N,NA,"2,4-Di-tert-butylphenol",NA,NA,NA,NA,NA,NA,NA,1513,NIST
"Phenol, p-tert-butyl-",98-54-4,QHPQWRBYOIRBIT-UHFFFAOYSA-N,NA,p-tert-Butylphenol,$p$-tert-Butylphenol,NA,leathery,NA,NA,NA,NA,NA,NA
Phenylethyl Alcohol,60-12-8,WRMNZCZEMHIOCP-UHFFFAOYSA-N,NA,Phenethyl alcohol,NA,NA,"honey, spice, rose, lilac",NA,NA,NA,NA,1109,NIST
"Propanoic acid, 2-methyl-",79-31-2,KQNPFQTWMSNSAP-UHFFFAOYSA-N,NA,Isobutyric acid,NA,NA,"rancid butter, cheese",NA,NA,NA,NA,785,NIST
"Propanoic acid, 2-methyl-, 3-hydroxy-2,4,4-trimethylpentyl ester",74367-34-3,WXFRFCWHHBELIH-UHFFFAOYSA-N,551387,"(3-hydroxy-2,4,4-trimethylpentyl) 2-methylpropanoate",NA,pretty name is IUPAC name,NA,Aliphatic ester,NA,25-26min,NA,1387,NIST
Terpinene<gamma->,99-85-4,YKFLAYDHMOASIY-UHFFFAOYSA-N,7461,ɣ-Terpinene,$\gamma$-Terpinene,NA,"herbal, citrus, terpene",Monoterpene Hydrocarbon,"antioxidant, feedant, etc",DCSE,1060,1059,NIST
Tetradecanoic acid,544-63-8,NA,11005,Tetradecanoic acid,NA,NA,"coconut, soapy, waxy",Acid,antioxidant,39-40min,1759,1775,NIST
trans-?-Bergamotene,13474-59-4,NA,NA,trans-α-Bergamotene,trans-$\alpha$-bergamotene,NA,"woody, warm, tea",Monoterpene Hydrocarbon,NA,NA,NA,1433,NIST
trans-Linalool oxide (furanoid),5989-33-3,BRHDDEIRQPDPMG-UHFFFAOYSA-N,NA,trans-Linalool oxide (furanoid),NA,NA,"earthy, floral, sweet, woody",NA,NA,NA,NA,1075,NIST
Vanillin,121-33-5,MWOOGOJBHIARFG-UHFFFAOYSA-N,1183,Vanillin,NA,"24.32 4-Hydroxy-3-methoxybenzaldehyde
",vanilla,Cyclic Aldehyde,"anticancer, mutagenic, etc",37-38min,1403,1399,NIST
.tau.-Cadinol,5937-11-1,HWXJDLBJPSCNJL-UHFFFAOYSA-N,NA,τ-Cadinol,$\tau$-Cadinol,NA,NA,NA,NA,NA,NA,1635,NIST
