sample,cultivar,plant_num,leaf,background,damaged,undamaged,leaf_area_px,percent_damage
J14,J,14,28,266754,25,301237,301262,0.008298424627068797
J14,J,14,29,187066,373,173461,173834,0.2145725232117998
J14,J,14,3,328815,35,381532,381567,0.009172700993534557
J14,J,14,30,324970,73,401958,402031,0.018157803751452
J14,J,14,31,378186,55,348760,348815,0.015767670541691155
J14,J,14,33,515946,102,506064,506166,0.020151491803084363
J14,J,14,34,218793,16,227614,227630,0.007028950489829987
J14,J,14,35,463477,620,625928,626548,0.09895490848267012
J14,J,14,36,166705,36,117704,117740,0.030575845082384916
J14,J,14,37,269075,94,322191,322285,0.029166731309244923
J14,J,14,38,316103,225,240942,241167,0.09329634651507047
J14,J,14,39,299942,100,225054,225154,0.0444140454977482
J14,J,14,4,222203,34,185920,185954,0.018284091764629962
J14,J,14,40,104397,48,130230,130278,0.03684428683277299
J14,J,14,41,367890,201,436454,436655,0.04603176420744066
J14,J,14,42,269451,40,308361,308401,0.01297012655600987
J14,J,14,43,265155,141,173499,173640,0.08120248790601245
J14,J,14,44,301256,34,137505,137539,0.024720261162288513
J14,J,14,45,360970,158,339798,339956,0.04647660285448705
J14,J,14,46,290246,54,158148,158202,0.03413357606098532
J14,J,14,47,299617,159,148672,148831,0.10683258192177704
J14,J,14,48,254718,435,339357,339792,0.12801949427885295
J14,J,14,49,340534,1810,321784,323594,0.5593428802759013
J14,J,14,5,161078,9,91651,91660,0.009818895919703252
J14,J,14,50,364188,3128,296812,299940,1.0428752417150098
J14,J,14,51,506276,45,157807,157852,0.02850771608848795
J14,J,14,6,485508,16,356828,356844,0.004483752003676677
J14,J,14,7,397748,1840,249456,251296,0.7322042531516618
J14,J,14,8,310688,126,375874,376000,0.03351063829787234
J14,J,14,9,255827,90,207477,207567,0.04335949356111521
J14,J,14,T,469482,16,191166,191182,0.008368988712326475
J15,J,15,1,420988,92,563162,563254,0.016333661190155772
J15,J,15,10,572993,96,160861,160957,0.059643258758550415
J15,J,15,11,494928,69,142203,142272,0.04849865047233468
J15,J,15,12,412738,44,320058,320102,0.013745618584076327
J15,J,15,13,381925,103,256572,256675,0.040128567254309924
J15,J,15,14,392670,51,245879,245930,0.020737608262513724
J15,J,15,15,186066,4,125585,125589,0.0031849923162060373
J15,J,15,16,189173,8,122474,122482,0.006531571986087751
J15,J,15,17,599587,123,410243,410366,0.029973243397357484
J15,J,15,18,398642,39,238574,238613,0.016344457343061777
J15,J,15,19,433417,96,203742,203838,0.04709622347158037
J15,J,15,2,644359,390,408051,408441,0.09548502721323275
J15,J,15,20,397751,121,406521,406642,0.029755903226917044
J15,J,15,21,514436,201,409875,410076,0.04901530448014514
J15,J,15,22,554978,78,125987,126065,0.06187284337444968
J15,J,15,23,735587,514,315180,315694,0.16281589133781446
J15,J,15,24,590310,152,458314,458466,0.03315403977612298
J15,J,15,25,726803,171,321802,321973,0.05311004338873135
J15,J,15,26,723634,68,325074,325142,0.020913939140437102
J15,J,15,27,514867,840,533069,533909,0.1573301817350897
J15,J,15,28,522941,212,525623,525835,0.04031682942367853
J15,J,15,29,600505,201,154187,154388,0.1301914656579527
J15,J,15,3,277133,11,209936,209947,0.005239417567290792
J15,J,15,30,651904,0,102989,102989,0
J15,J,15,31,329188,122,208154,208276,0.0585761201482648
J15,J,15,32,251158,12,58430,58442,0.020533178193764757
J15,J,15,33,306657,35,302554,302589,0.011566844796076526
J15,J,15,34,383019,298,225929,226227,0.1317260981226821
J15,J,15,35,508588,804,237200,238004,0.3378094485806961
J15,J,15,36,500765,97,245730,245827,0.03945864368031177
J15,J,15,37,467341,53,279198,279251,0.01897934116619099
J15,J,15,4,340145,62,146873,146935,0.042195528635110766
J15,J,15,5,291271,273,195536,195809,0.13942157919196768
J15,J,15,6,436338,82,316340,316422,0.025914759403581292
J15,J,15,7,424125,187,156568,156755,0.11929444036872826
J15,J,15,8,621935,61,299829,299890,0.020340791623595318
J15,J,15,9,497508,106,204101,204207,0.05190811284627853
J15,J,15,T,404034,533,329383,329916,0.16155627493058838
J16,J,16,1,415694,92,353126,353218,0.02604623773420381
J16,J,16,10,437667,36,149932,149968,0.024005121092499734
J16,J,16,11,305568,23,133801,133824,0.01718675274988044
J16,J,16,12,231336,914,207142,208056,0.43930480255315874
J16,J,16,13,273541,14736,254551,269287,5.472228514558816
J16,J,16,14,370197,42,316745,316787,0.013258119809209342
J16,J,16,15,196133,2343,211654,213997,1.0948751618013337
J16,J,16,16,362798,37,213603,213640,0.017318854147163453
J16,J,16,17,418374,30,158034,158064,0.018979653811114487
J16,J,16,18,297711,124,278603,278727,0.04448797568947393
J16,J,16,19,298522,616,277300,277916,0.22164970710574416
J16,J,16,2,244151,45,215488,215533,0.020878473366027477
J16,J,16,20,233764,4,124540,124544,0.003211716341212744
J16,J,16,21,254746,300,293854,294154,0.10198739435805734
J16,J,16,22,285462,77,492061,492138,0.015646017986824835
J16,J,16,23,154776,9,91891,91900,0.009793253536452665
J16,J,16,24,247412,240,289710,289950,0.08277289187790998
J16,J,16,25,460247,38,318791,318829,0.011918614680596809
J16,J,16,26,558472,26,220578,220604,0.011785824373084805
J16,J,16,27,556034,146,222896,223042,0.06545852350678347
J16,J,16,28,226985,5,192530,192535,0.0025969304282338276
J16,J,16,29,352977,77,338728,338805,0.02272693732382934
J16,J,16,3,296775,127,323963,324090,0.039186645684840635
J16,J,16,30,269969,1,187930,187931,5.321101893780163e-4
J16,J,16,31,382445,2439,364025,366464,0.665549685644429
J16,J,16,32,261793,751,275664,276415,0.27169292549246604
J16,J,16,33,144960,13,59923,59936,0.021689802455953016
J16,J,16,34,251205,41,130633,130674,0.03137579013422716
J16,J,16,35,251387,139,310494,310633,0.0447473384991292
J16,J,16,37,246357,1229,136524,137753,0.8921765769166552
J16,J,16,38,156886,21,216839,216860,0.009683666881859263
J16,J,16,39,526140,112,422381,422493,0.026509314947229894
J16,J,16,4,337032,639,348433,349072,0.1830567905761562
J16,J,16,40,169173,53,105062,105115,0.05042096751177282
J16,J,16,41,249483,885,313522,314407,0.28148228251915514
J16,J,16,42,233392,94,178339,178433,0.052680838185761594
J16,J,16,43,499209,107,314479,314586,0.03401295671136033
J16,J,16,44,301508,55,154137,154192,0.035669814257549025
J16,J,16,45,318431,544,333325,333869,0.16293815837948417
J16,J,16,46,549013,10,103277,103287,0.009681760531335017
J16,J,16,47,142880,30,167946,167976,0.017859694242034575
J16,J,16,48,309052,276,239123,239399,0.11528870212490444
J16,J,16,49,330811,218,510975,511193,0.04264534138769506
J16,J,16,5,371100,545,405855,406400,0.13410433070866143
J16,J,16,6,574233,201,203066,203267,0.09888471812935695
J16,J,16,7,414146,21,363333,363354,0.005779487772255156
J16,J,16,8,279612,191,259930,260121,0.07342736649482356
J16,J,16,9,318116,1713,267806,269519,0.6355767125879809
J16,J,16,T,366034,1244,338347,339591,0.36632301798339767
J17,J,17,1,635167,89,378444,378533,0.023511820633868117
J17,J,17,10,417153,280,239342,239622,0.11685070652945055
J17,J,17,11,593002,284,618726,619010,0.045879711151677674
J17,J,17,12,189920,15,114484,114499,0.013100551096516129
J17,J,17,13,224922,19,179456,179475,0.010586432650787018
J17,J,17,14,261370,12,129945,129957,0.009233823495463884
J17,J,17,15,305003,6,132918,132924,0.004513857542655954
J17,J,17,16,304869,3,133055,133058,0.002254655864359903
J17,J,17,17,312544,31,125352,125383,0.024724244913584777
J17,J,17,18,282682,326,154919,155245,0.20999065992463525
J17,J,17,19,331281,475,265619,266094,0.17850834667448345
J17,J,17,2,509974,51,171515,171566,0.029726169520767516
J17,J,17,20,208838,7,205842,205849,0.0034005508892440573
J17,J,17,21,693945,389,327362,327751,0.11868766228020661
J17,J,17,22,385636,29,222095,222124,0.013055770650627577
J17,J,17,23,494562,375,511131,511506,0.0733129230155658
J17,J,17,24,503116,74,579384,579458,0.0127705545527027
J17,J,17,25,516689,39,369048,369087,0.01056661437547245
J17,J,17,26,585487,49,300240,300289,0.016317614031816016
J17,J,17,27,474394,36,198330,198366,0.018148271377151325
J17,J,17,28,467995,527,204238,204765,0.25736820257368204
J17,J,17,29,531451,13,141296,141309,0.009199697117664125
J17,J,17,3,467363,61,267423,267484,0.02280510236126273
J17,J,17,30,391738,13,281009,281022,0.004625972343802265
J17,J,17,31,532569,25,140166,140191,0.01783281380402451
J17,J,17,32,482121,280,190359,190639,0.1468744590561218
J17,J,17,33,429621,17502,225637,243139,7.198351560218641
J17,J,17,34,495869,11466,97593,109059,10.51357522075207
J17,J,17,35,658506,124,445094,445218,0.02785152442174395
J17,J,17,36,727884,10140,513176,523316,1.93764379457154
J17,J,17,37,459467,113,347439,347552,0.032513120338827
J17,J,17,38,556568,25,250426,250451,0.009981992485556057
J17,J,17,39,495990,128,310901,311029,0.04115371878506506
J17,J,17,4,418173,11,316663,316674,0.003473603769175872
J17,J,17,40,766640,381,557523,557904,0.06829131893659124
J17,J,17,5,579091,1950,543302,545252,0.35763280098009725
J17,J,17,6,283518,160,239618,239778,0.0667283904278124
J17,J,17,7,464322,271,299471,299742,0.09041108686803985
J17,J,17,8,462758,28,301278,301306,0.009292878336309268
J17,J,17,9,591375,226,610301,610527,0.03701719989451736
J17,J,17,T,472794,4,291266,291270,0.0013732962543344662
J18,J,18,1,282753,157,248280,248437,0.06319509573855746
J18,J,18,10,523074,35,59971,60006,0.058327500583275
J18,J,18,11,543166,2328,328325,330653,0.7040613573746496
J18,J,18,12,331364,51,152974,153025,0.033327887600065345
J18,J,18,13,347240,54,137095,137149,0.03937323640711927
J18,J,18,14,849773,2166,374941,377107,0.5743727907463929
J18,J,18,15,279265,261,72322,72583,0.3595883333562956
J18,J,18,16,577977,103,570289,570392,0.0180577567707822
J18,J,18,17,258436,80,131202,131282,0.06093752380372024
J18,J,18,18,205264,113,223431,223544,0.050549332569874386
J18,J,18,19,497344,51,314689,314740,0.016203850797483637
J18,J,18,2,405351,67,125772,125839,0.053242635430987215
J18,J,18,20,392285,205,419594,419799,0.048832893837288796
J18,J,18,21,467159,85,389654,389739,0.02180946736149064
J18,J,18,22,217227,42,140482,140524,0.02988813298795935
J18,J,18,23,409596,105,180264,180369,0.05821399464431249
J18,J,18,24,439776,38,150151,150189,0.025301453501920913
J18,J,18,25,520251,37,368192,368229,0.010048095071273582
J18,J,18,26,343810,248,140790,141038,0.17583913555212072
J18,J,18,27,295962,5,188881,188886,0.002647099308577661
J18,J,18,28,361490,94,266232,266326,0.035295089476806624
J18,J,18,29,301432,32,115393,115425,0.02772363006281135
J18,J,18,3,546534,107,218383,218490,0.04897249302027553
J18,J,18,30,589996,22,420194,420216,0.005235402745254821
J18,J,18,31,385384,844,207772,208616,0.40457107796142194
J18,J,18,32,916522,16,535199,535215,0.002989452836710481
J18,J,18,33,548699,697,310605,311302,0.22389833666343292
J18,J,18,4,591426,9,173589,173598,0.005184391525247987
J18,J,18,5,658946,43,106035,106078,0.0405362092045476
J18,J,18,6,606829,258,462289,462547,0.05577811552123352
J18,J,18,7,381483,60,201537,201597,0.029762347653982946
J18,J,18,8,502468,165,80447,80612,0.20468416612911228
J18,J,18,9,388021,459,194600,195059,0.2353134179914795
J18,J,18,T,594157,1067,459549,460616,0.23164631710578878
J19,J,19,1,524690,17,305775,305792,0.005559334449560485
J19,J,19,10,351945,70,286955,287025,0.024388119501785557
J19,J,19,11,493039,68,145863,145931,0.04659736450788386
J19,J,19,12,489120,1412,316799,318211,0.44373073212428227
J19,J,19,13,526381,47,157749,157796,0.02978529240284925
J19,J,19,14,618490,30,65657,65687,0.045671137363557476
J19,J,19,15,489940,31,194206,194237,0.015959884059164833
J19,J,19,16,492048,64,271989,272053,0.02352482788280225
J19,J,19,17,525830,155,238116,238271,0.0650519786293758
J19,J,19,18,558324,25,377851,377876,0.0066159269178248945
J19,J,19,19,768527,18,167655,167673,0.010735180977259309
J19,J,19,2,669622,0,160860,160860,0
J19,J,19,20,605115,217,330868,331085,0.06554208133862904
