compound,sample,cultivar,plant_num,conc,mg_tea,conc_ug_mg,mean_leaf_area_px,mean_percent_damage,n_leaves,twister_damage,density_treatment,density_start,density_end
Theobromine,J3,J,3,22.217,20.1,1.105323383084577,260037.56818181818,2.0295319153938793,44,0.062027887058263724,0,0,0.05
Paraxanthine,J3,J,3,10.099,20.1,0.5024378109452736,260037.56818181818,2.0295319153938793,44,0.062027887058263724,0,0,0.05
Theophylline,J3,J,3,NA,20.1,NA,260037.56818181818,2.0295319153938793,44,0.062027887058263724,0,0,0.05
Catechin,J3,J,3,13.992,20.1,0.6961194029850746,260037.56818181818,2.0295319153938793,44,0.062027887058263724,0,0,0.05
Epigallocatechin,J3,J,3,406.7,20.1,20.23383084577114,260037.56818181818,2.0295319153938793,44,0.062027887058263724,0,0,0.05
Caffeine,J3,J,3,826.29,20.1,41.10895522388059,260037.56818181818,2.0295319153938793,44,0.062027887058263724,0,0,0.05
Epigallocatechin gallate,J3,J,3,1604.6,20.1,79.83084577114427,260037.56818181818,2.0295319153938793,44,0.062027887058263724,0,0,0.05
Epicatechin,J3,J,3,208.82,20.1,10.389054726368158,260037.56818181818,2.0295319153938793,44,0.062027887058263724,0,0,0.05
Gallocatechin gallate,J3,J,3,7.2377,20.1,0.3600845771144279,260037.56818181818,2.0295319153938793,44,0.062027887058263724,0,0,0.05
Epicatechin gallate,J3,J,3,323.06,20.1,16.072636815920397,260037.56818181818,2.0295319153938793,44,0.062027887058263724,0,0,0.05
Catechin gallate,J3,J,3,NA,20.1,NA,260037.56818181818,2.0295319153938793,44,0.062027887058263724,0,0,0.05
L-theanine,J2,J,2,53.113,20.6,2.5783009708737863,295626.5882352941,0.1192838189441112,34,0.5618013004152994,0.25,0.1875,0
Gallic acid,J2,J,2,NA,20.6,NA,295626.5882352941,0.1192838189441112,34,0.5618013004152994,0.25,0.1875,0
Gallocatechin,J2,J,2,90.947,20.6,4.4149029126213595,295626.5882352941,0.1192838189441112,34,0.5618013004152994,0.25,0.1875,0
Theobromine,J2,J,2,28.804,20.6,1.3982524271844659,295626.5882352941,0.1192838189441112,34,0.5618013004152994,0.25,0.1875,0
Paraxanthine,J2,J,2,10.099,20.6,0.49024271844660194,295626.5882352941,0.1192838189441112,34,0.5618013004152994,0.25,0.1875,0
Theophylline,J2,J,2,NA,20.6,NA,295626.5882352941,0.1192838189441112,34,0.5618013004152994,0.25,0.1875,0
Catechin,J2,J,2,10.61,20.6,0.5150485436893203,295626.5882352941,0.1192838189441112,34,0.5618013004152994,0.25,0.1875,0
Epigallocatechin,J2,J,2,383.33,20.6,18.608252427184464,295626.5882352941,0.1192838189441112,34,0.5618013004152994,0.25,0.1875,0
Caffeine,J2,J,2,770.45,20.6,37.400485436893206,295626.5882352941,0.1192838189441112,34,0.5618013004152994,0.25,0.1875,0
Epigallocatechin gallate,J2,J,2,1588,20.6,77.08737864077669,295626.5882352941,0.1192838189441112,34,0.5618013004152994,0.25,0.1875,0
Epicatechin,J2,J,2,179.14,20.6,8.696116504854368,295626.5882352941,0.1192838189441112,34,0.5618013004152994,0.25,0.1875,0
Gallocatechin gallate,J2,J,2,7.702,20.6,0.373883495145631,295626.5882352941,0.1192838189441112,34,0.5618013004152994,0.25,0.1875,0
Epicatechin gallate,J2,J,2,278.55,20.6,13.521844660194175,295626.5882352941,0.1192838189441112,34,0.5618013004152994,0.25,0.1875,0
Catechin gallate,J2,J,2,NA,20.6,NA,295626.5882352941,0.1192838189441112,34,0.5618013004152994,0.25,0.1875,0
L-theanine,J1,J,1,75.726,20.3,3.730344827586207,265036.7948717949,0.1692404488485661,39,0.1625229378328783,0.75,0.7647058823529411,0.4117647058823529
Gallic acid,J1,J,1,NA,20.3,NA,265036.7948717949,0.1692404488485661,39,0.1625229378328783,0.75,0.7647058823529411,0.4117647058823529
Gallocatechin,J1,J,1,102.62,20.3,5.055172413793104,265036.7948717949,0.1692404488485661,39,0.1625229378328783,0.75,0.7647058823529411,0.4117647058823529
Theobromine,J1,J,1,28.546,20.3,1.406206896551724,265036.7948717949,0.1692404488485661,39,0.1625229378328783,0.75,0.7647058823529411,0.4117647058823529
Paraxanthine,J1,J,1,10.099,20.3,0.497487684729064,265036.7948717949,0.1692404488485661,39,0.1625229378328783,0.75,0.7647058823529411,0.4117647058823529
Theophylline,J1,J,1,NA,20.3,NA,265036.7948717949,0.1692404488485661,39,0.1625229378328783,0.75,0.7647058823529411,0.4117647058823529
Catechin,J1,J,1,13.286,20.3,0.6544827586206896,265036.7948717949,0.1692404488485661,39,0.1625229378328783,0.75,0.7647058823529411,0.4117647058823529
Epigallocatechin,J1,J,1,425.78,20.3,20.9743842364532,265036.7948717949,0.1692404488485661,39,0.1625229378328783,0.75,0.7647058823529411,0.4117647058823529
Caffeine,J1,J,1,860.49,20.3,42.388669950738915,265036.7948717949,0.1692404488485661,39,0.1625229378328783,0.75,0.7647058823529411,0.4117647058823529
Epigallocatechin gallate,J1,J,1,1584.9,20.3,78.07389162561577,265036.7948717949,0.1692404488485661,39,0.1625229378328783,0.75,0.7647058823529411,0.4117647058823529
Epicatechin,J1,J,1,216.05,20.3,10.642857142857142,265036.7948717949,0.1692404488485661,39,0.1625229378328783,0.75,0.7647058823529411,0.4117647058823529
Gallocatechin gallate,J1,J,1,9.0612,20.3,0.4463645320197044,265036.7948717949,0.1692404488485661,39,0.1625229378328783,0.75,0.7647058823529411,0.4117647058823529
